Stream Size,Batch Size,Time (ms)
0.06000,3,5,0.101990,,0.05000,3,5,0.096939,,0.04000,3,5,0.063533,,0.03000,3,5,0.022351,,0.02000,3,5,0.008298,,
0.06000,3,6,0.088298,,0.05000,3,6,0.083267,,0.04000,3,6,0.057898,,0.03000,3,6,0.021464,,0.02000,3,6,0.007009,,
0.06000,3,7,0.069049,,0.05000,3,7,0.067395,,0.04000,3,7,0.046660,,0.03000,3,7,0.018996,,0.02000,3,7,0.006624,,
0.06000,3,8,0.062812,,0.05000,3,8,0.060511,,0.04000,3,8,0.045436,,0.03000,3,8,0.017515,,0.02000,3,8,0.005738,,
0.06000,3,9,0.051243,,0.05000,3,9,0.048236,,0.04000,3,9,0.039105,,0.03000,3,9,0.017323,,0.02000,3,9,0.006014,,
0.06000,3,10,0.047422,,0.05000,3,10,0.043485,,0.04000,3,10,0.035188,,0.03000,3,10,0.013857,,0.02000,3,10,0.004979,,
0.06000,3,11,0.042737,,0.05000,3,11,0.039012,,0.04000,3,11,0.029017,,0.03000,3,11,0.014972,,0.02000,3,11,0.005265,,
0.06000,3,12,0.037476,,0.05000,3,12,0.034705,,0.04000,3,12,0.029962,,0.03000,3,12,0.012943,,0.02000,3,12,0.004383,,
0.06000,3,13,0.036476,,0.05000,3,13,0.034280,,0.04000,3,13,0.028749,,0.03000,3,13,0.013903,,0.02000,3,13,0.004437,,
0.06000,3,14,0.032132,,0.05000,3,14,0.029270,,0.04000,3,14,0.026208,,0.03000,3,14,0.015065,,0.02000,3,14,0.004311,,
0.06000,3,15,0.029866,,0.05000,3,15,0.029996,,0.04000,3,15,0.024902,,0.03000,3,15,0.013090,,0.02000,3,15,0.004274,,
0.06000,3,16,0.028119,,0.05000,3,16,0.027549,,0.04000,3,16,0.026509,,0.03000,3,16,0.013542,,0.02000,3,16,0.003872,,
0.06000,4,1,0.626749,,0.05000,4,1,0.379787,,0.04000,4,1,0.158851,,0.03000,4,1,0.063192,,0.02000,4,1,0.033445,,
0.06000,4,2,0.291967,,0.05000,4,2,0.224421,,0.04000,4,2,0.092035,,0.03000,4,2,0.034932,,0.02000,4,2,0.016347,,
0.06000,4,3,0.146596,,0.05000,4,3,0.138187,,0.04000,4,3,0.069978,,0.03000,4,3,0.025179,,0.02000,4,3,0.009920,,
0.06000,4,4,0.106982,,0.05000,4,4,0.103835,,0.04000,4,4,0.062844,,0.03000,4,4,0.020817,,0.02000,4,4,0.007770,,
0.06000,4,5,0.078365,,0.05000,4,5,0.073115,,0.04000,4,5,0.045368,,0.03000,4,5,0.017983,,0.02000,4,5,0.006235,,
0.06000,4,6,0.065965,,0.05000,4,6,0.062911,,0.04000,4,6,0.041233,,0.03000,4,6,0.015360,,0.02000,4,6,0.005250,,
0.06000,4,7,0.052082,,0.05000,4,7,0.047930,,0.04000,4,7,0.031991,,0.03000,4,7,0.014873,,0.02000,4,7,0.004766,,
0.06000,4,8,0.046027,,0.05000,4,8,0.041161,,0.04000,4,8,0.027981,,0.03000,4,8,0.015380,,0.02000,4,8,0.004545,,
0.06000,4,9,0.039856,,0.05000,4,9,0.038864,,0.04000,4,9,0.028954,,0.03000,4,9,0.012480,,0.02000,4,9,0.004428,,
0.06000,4,10,0.036498,,0.05000,4,10,0.034942,,0.04000,4,10,0.027644,,0.03000,4,10,0.012758,,0.02000,4,10,0.003750,,
0.06000,4,11,0.031165,,0.05000,4,11,0.030299,,0.04000,4,11,0.024659,,0.03000,4,11,0.013355,,0.02000,4,11,0.003516,,
0.06000,4,12,0.027507,,0.05000,4,12,0.027279,,0.04000,4,12,0.023252,,0.03000,4,12,0.011485,,0.02000,4,12,0.003503,,
0.06000,4,13,0.026601,,0.05000,4,13,0.026301,,0.04000,4,13,0.026245,,0.03000,4,13,0.011957,,0.02000,4,13,0.003686,,
0.06000,4,14,0.025785,,0.05000,4,14,0.022271,,0.04000,4,14,0.018705,,0.03000,4,14,0.010669,,0.02000,4,14,0.003277,,
0.06000,4,15,0.022608,,0.05000,4,15,0.020679,,0.04000,4,15,0.017832,,0.03000,4,15,0.009596,,0.02000,4,15,0.002887,,
0.06000,4,16,0.021337,,0.05000,4,16,0.019242,,0.04000,4,16,0.017776,,0.03000,4,16,0.009878,,0.02000,4,16,0.002777,,
0.06000,5,1,0.518148,,0.05000,5,1,0.307454,,0.04000,5,1,0.116295,,0.03000,5,1,0.050919,,0.02000,5,1,0.026548,,
0.06000,5,2,0.237782,,0.05000,5,2,0.186589,,0.04000,5,2,0.093975,,0.03000,5,2,0.028947,,0.02000,5,2,0.012778,,
0.06000,5,3,0.127821,,0.05000,5,3,0.108813,,0.04000,5,3,0.053413,,0.03000,5,3,0.020864,,0.02000,5,3,0.007761,,
